iso,Precision,Recall,F1
AE,0.0,0.0,0
AF,1.0,0.75,0.8571428571428571
AL,0.3333333333333333,0.5,0.4
AM,0.5,1.0,0.6666666666666666
AO,0.0,0.0,0
AR,0.5,0.16666666666666666,0.25
AS,0.0,0.0,0
AT,0.0,0.0,0
AU,0.5,0.3333333333333333,0.4
AZ,0.5,0.3333333333333333,0.4
BA,0,0.0,0
BB,0,0.0,0
BD,0.8,0.4,0.5333333333333333
BE,0,0.0,0
BF,0.0,0.0,0
BG,1.0,1.0,1.0
BH,0.0,0.0,0
BI,0.0,0.0,0
BJ,0.0,0.0,0
BN,0.0,0.0,0
BO,1.0,0.25,0.4
BR,0.42105263157894735,0.4,0.41025641025641024
BS,0.0,0.0,0
BT,0.3333333333333333,0.25,0.28571428571428575
BW,0.6666666666666666,0.5,0.5714285714285715
BY,0.0,0.0,0
BZ,0.0,0.0,0
CA,1.0,0.3333333333333333,0.5
CD,0.0,0.0,0
CF,0.0,0.0,0
CH,0,0.0,0
CI,0.0,0.0,0
CL,1.0,0.3333333333333333,0.5
CM,0.0,0.0,0
CN,0.5,0.16666666666666666,0.25
CO,0.14285714285714285,0.16666666666666666,0.15384615384615383
CR,0.3333333333333333,0.25,0.28571428571428575
CU,0.3333333333333333,0.3333333333333333,0.3333333333333333
CV,0.0,0.0,0
CY,0.0,0.0,0
CZ,0,0.0,0
DE,0.0,0.0,0
DJ,1.0,0.25,0.4
DK,0,0.0,0
DM,0.0,0.0,0
DO,0.0,0.0,0
DZ,0.0,0.0,0
EC,0.25,0.1111111111111111,0.15384615384615383
EE,0.0,0.0,0
EG,0.0,0.0,0
ER,0.0,0.0,0
ES,0.0,0.0,0
ET,0.4,0.2857142857142857,0.3333333333333333
FI,0.0,0.0,0
FJ,1.0,0.5,0.6666666666666666
FM,0.0,0.0,0
FO,0,0.0,0
FR,0.5,0.25,0.3333333333333333
GA,0.0,0.0,0
GB,0,0.0,0
GD,1.0,1.0,1.0
GE,0.0,0.0,0
GH,0.0,0.0,0
GI,0,0.0,0
GM,0.0,0.0,0
GN,0.0,0.0,0
GP,0.0,0.0,0
GQ,0.0,0.0,0
GR,1.0,0.25,0.4
GT,0.0,0.0,0
GU,0.6666666666666666,0.6666666666666666,0.6666666666666666
GW,0.0,0.0,0
GY,0.0,0.0,0
HK,0.5,0.2,0.28571428571428575
HN,0.0,0.0,0
HR,0.0,0.0,0
HT,0.0,0.0,0
HU,0,0.0,0
ID,0.3,0.1,0.15
IE,0.0,0.0,0
IL,0.3333333333333333,0.25,0.28571428571428575
IN,0.9,0.5294117647058824,0.6666666666666667
IQ,0.0,0.0,0
IR,0.5,0.4,0.4444444444444445
IT,1.0,0.25,0.4
JM,0.0,0.0,0
JO,0.5,0.3333333333333333,0.4
JP,0.0,0.0,0
KE,0.16666666666666666,0.2,0.1818181818181818
KG,0.5,1.0,0.6666666666666666
KH,1.0,0.5555555555555556,0.7142857142857143
KI,0.0,0.0,0
KN,0,0.0,0
KP,0.0,0.0,0
KR,1.0,0.3333333333333333,0.5
KW,0.5,0.5,0.5
KZ,0.5,0.25,0.3333333333333333
LA,1.0,0.5555555555555556,0.7142857142857143
LB,0.5,1.0,0.6666666666666666
LC,0.0,0.0,0
LK,0.0,0.0,0
LR,0.0,0.0,0
LS,0.0,0.0,0
LU,0,0.0,0
LV,0,0.0,0
LY,0.0,0.0,0
MA,0.0,0.0,0
MC,0.0,0.0,0
ME,0.0,0.0,0
MG,0.4,1.0,0.5714285714285715
MK,0.0,0.0,0
ML,0.0,0.0,0
MM,0.8,0.3076923076923077,0.4444444444444444
MN,0.3333333333333333,0.3333333333333333,0.3333333333333333
MP,0.0,0.0,0
MR,0.0,0.0,0
MT,1.0,0.25,0.4
MU,0.3333333333333333,0.3333333333333333,0.3333333333333333
MV,0.0,0.0,0
MW,0.0,0.0,0
MX,0.08333333333333333,0.1,0.0909090909090909
MY,0.5,0.18181818181818182,0.26666666666666666
MZ,0.0,0.0,0
NC,0.8,0.6666666666666666,0.7272727272727272
NE,0.0,0.0,0
NF,0.0,0.0,0
NG,0.0,0.0,0
NI,0.0,0.0,0
NL,0,0.0,0
NO,0.0,0.0,0
NP,1.0,0.5,0.6666666666666666
NZ,0.0,0.0,0
OM,0.0,0.0,0
PA,0.0,0.0,0
PE,0.0,0.0,0
PF,0.5,0.16666666666666666,0.25
PG,0.0,0.0,0
PH,0.5,0.10526315789473684,0.17391304347826086
PK,0.6666666666666666,0.2222222222222222,0.3333333333333333
PL,0.0,0.0,0
PR,0.5,1.0,0.6666666666666666
PS,0.0,0.0,0
PT,0.0,0.0,0
PY,0.0,0.0,0
QA,0.0,0.0,0
RE,0.5,0.5,0.5
RO,1.0,0.5,0.6666666666666666
RS,0.0,0.0,0
RU,0.5,0.375,0.42857142857142855
RW,0.0,0.0,0
SA,0.3333333333333333,0.25,0.28571428571428575
SB,0.0,0.0,0
SC,0.5,0.5,0.5
SD,0.0,0.0,0
SE,0,0.0,0
SG,0.0,0.0,0
SH,0.25,0.25,0.25
SI,0,0.0,0
SK,0,0.0,0
SL,0.0,0.0,0
SN,0.0,0.0,0
SO,1.0,0.5,0.6666666666666666
SS,0.0,0.0,0
ST,0.0,0.0,0
SV,0.0,0.0,0
SY,0.6666666666666666,1.0,0.8
SZ,0.0,0.0,0
TD,0.0,0.0,0
TF,0.0,0.0,0
TG,0.0,0.0,0
TH,0.5714285714285714,0.3333333333333333,0.4210526315789474
TJ,0.5,1.0,0.6666666666666666
TL,0.5,1.0,0.6666666666666666
TM,1.0,0.5,0.6666666666666666
TN,0.5,0.5,0.5
TR,0.0,0.0,0
TT,1.0,1.0,1.0
TW,1.0,0.4,0.5714285714285715
TZ,0.0,0.0,0
UA,0.5,1.0,0.6666666666666666
UG,0.0,0.0,0
UM,0.0,0.0,0
US,1.0,0.045454545454545456,0.08695652173913045
UY,0.0,0.0,0
UZ,0.5,0.3333333333333333,0.4
VE,0.0,0.0,0
VN,0.7,0.5833333333333334,0.6363636363636365
VU,0.0,0.0,0
WF,0.0,0.0,0
WS,1.0,0.5,0.6666666666666666
YE,0.0,0.0,0
ZA,0.5714285714285714,0.6666666666666666,0.6153846153846153
ZM,0.75,0.6,0.6666666666666665
ZW,1.0,0.2,0.33333333333333337
NA,0.5,0.2,0.28571428571428575
